Edges,Triangles,Count
34,46,178904880
34,47,580759200
34,48,1133678700
34,49,1548136800
34,50,1721936160
34,51,1601447400
34,52,1304284590
34,53,898770600
34,54,560706300
34,55,316086120
34,56,159742170
34,57,66079440
34,58,23373000
34,59,15989400
34,60,4460400
34,61,3099600
34,62,181440
34,63,315000
34,64,340200
34,65,143640
34,66,45360
34,70,3780
34,71,2520
35,48,31500
35,49,421200
35,50,8142624
35,51,60026400
35,52,215497170
35,53,389428200
35,54,536974200
35,55,566745480
35,56,498447810
35,57,385371000
35,58,253990800
35,59,144496800
35,60,72464742
35,61,35476560
35,62,13730220
35,63,5821200
35,64,667800
35,65,1688400
35,66,541800
35,67,166320
35,70,34020
35,71,22680
35,77,360
36,54,28000
36,55,681240
36,56,9646065
36,57,51009840
36,58,106990800
36,59,153369720
36,60,169262100
36,61,148654800
36,62,106640100
36,63,71101800
36,64,39872700
36,65,16219560
36,66,7907340
36,67,2857680
36,68,1358700
36,69,332640
36,70,7560
36,71,133560
36,72,85680
36,77,3240
36,84,10
37,60,6300
37,61,327600
37,62,5546520
37,63,19846080
37,64,36239805
37,65,43470000
37,66,41170500
37,67,31764600
37,68,18998910
37,69,10059840
37,70,5775840
37,71,1398600
37,72,461790
37,73,294840
37,74,178920
37,77,360
37,78,12600
37,84,90
38,67,37800
38,68,1420650
38,69,4896360
38,70,9402120
38,71,9984600
38,72,8690850
38,73,5644800
38,74,3304980
38,75,1176840
38,76,563220
38,77,226800
38,79,2520
38,80,27720
38,85,360
39,74,107100
39,75,844200
39,76,1706250
39,77,2201640
39,78,1575000
39,79,982800
39,80,500430
39,81,181440
39,82,7560
39,83,37800
39,87,840
40,80,945
40,81,37800
40,82,239400
40,83,352800
40,84,324450
40,85,169344
40,86,63000
40,87,32760
40,90,1260
41,88,4725
41,89,37800
41,90,59220
41,91,27720
41,92,18270
41,94,1260
42,96,3150
42,97,7560
42,98,2640
42,99,840
43,104,630
43,105,360
44,112,45
45,120,1
